Feature,Importance
overall_stress_index,0.15831641245638853
vibration_speed_interaction,0.09032368065677489
pressure_temperature_ratio,0.07828943270909233
thermal_stress_index,0.07341879485887767
operating_hours_machine_zscore,0.07210067508479726
operating_hours,0.07082641228260135
vibration_mm_s,0.06305416607394086
vibration_mm_s_machine_zscore,0.05808634054290767
mechanical_stress_index,0.051373197287158084
temperature_c_machine_zscore,0.04241734707912994
thermal_load,0.03881928692826464
temperature_c,0.037888829480341404
pressure_kpa_machine_zscore,0.02111425784253763
pressure_kpa,0.020918977143499717
power_consumption_kw,0.016734678087096885
power_consumption_kw_machine_zscore,0.01656429169953237
power_per_1000_rpm,0.016101724209343228
rotational_speed_rpm,0.01577735344235939
rotational_speed_rpm_machine_zscore,0.015708428441808607
hour,0.011057980596595312
hour_cos,0.009668692787194013
hour_sin,0.00921280537502555
day_of_week,0.005140349903950476
machine_id,0.00513273452707636
is_weekend,0.0019531505037058685
